"Item Name";"Region";"Lore";"DescriptionLore";"ImageURL"
"Cull";"Noxus";"Favored by ambitious Noxian aspirants, each strike is a calculated risk, a chance to rise through the ranks by any means necessary.";"This wicked-looking dagger is favored by those who seek power at any cost. When you hit a creature with this magic weapon, you can choose to gain temporary hit points equal to the damage dealt. However, until the end of your next turn, you have disadvantage on attack rolls and saving throws.";"https://wiki.leagueoflegends.com/en-us/images/Cull_item.png"
"Time Chain";"Celestial";"Associated with the celestial realm of Targon, possibly used by mortals blessed with celestial power or even the Aspects themselves.";"This shimmering chain, crafted from celestial starlight, allows the wielder to manipulate the flow of time in a limited fashion. As an action, you can target one creature within 30 feet. The target must succeed on a DC 15 Wisdom saving throw or be slowed for 1 minute. While slowed in this way, the target's speed is halved, it has disadvantage on Dexterity saving throws, and it can't use reactions. You can use this ability three times, and regain all expended uses after a long rest. Additionally, the chain grants advantage on saving throws against effects that would alter your position in the timeline or otherwise erase you from existence.";"https://wiki.leagueoflegends.com/en-us/images/LeBlanc_Ethereal_Chains_HD.png"
"Dark Seal";"Noxus";"Commonly used by ambitious Noxian mages, seeking to amplify their power through dark pacts and esoteric knowledge.";"This obsidian seal pulses with a malevolent energy. While you wear this seal, your spell attack bonus and spell save DC each increase by 1. Additionally, whenever you reduce a hostile creature to 0 hit points with a spell while wearing the seal, you gain 5 temporary hit points. However, if you are reduced to 0 hit points while wearing this seal, you must succeed on a DC 15 Charisma saving throw or become cursed. While cursed, you are compelled to serve a dark entity, as determined by the DM, and cannot willingly act in a way that would displease it.";"https://wiki.leagueoflegends.com/en-us/images/Dark_Seal_item.png"
"Doran's Blade";"Demacia";"Favored by novice duelists in Demacia, it is a simple but effective blade. Used often by young soldiers in training exercises.";"This simple, yet effective blade grants +1 to attack rolls and damage rolls made with it. Additionally, you regain 5 hit points after reducing a creature to 0 hit points with this weapon.";"https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Blade_item.png"
"Doran's Shield";"Demacia";"Commonly used by Demacian soldiers, its protective qualities are well-regarded. Some suspect Galio's magic is infused, granting the bearer tenacity.";"While holding this shield, you have a +1 bonus to AC. In addition, as a reaction when you are subjected to an effect that allows you to make a saving throw to take only half damage, you can use this shield to instead take no damage if you succeed on the saving throw, and only half damage if you fail. You can't use this reaction if you are incapacitated.";"https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Shield_item.png"
"Guardian's Hammer";"Freljord";"Forged in the icy heart of the Freljord, it whispers tales of forgotten iceborn warriors and their relentless battles against the void.";"This hammer deals an extra 1d6 cold damage on a hit. Once per day, as an action, you can slam the hammer into the ground, creating a 15-foot radius circle of difficult terrain centered on you for 1 minute. Creatures starting their turn in the difficult terrain must succeed on a DC 13 Constitution saving throw or have their speed reduced by half until the end of their turn.";"https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Hammer_item.png"
"Guardian's Orb";"Ionia";"This orb may be tied to ancient Ionian spirit magic, possibly used to protect against malevolent entities or channel inner power.";"This orb pulses with ancient Ionian spirit magic. While holding the orb, you gain advantage on saving throws against being charmed or frightened. Additionally, as a bonus action, you can expend a charge to unleash a warding burst. All creatures within 15 feet of you must succeed on a DC 15 Wisdom saving throw or be pushed 10 feet away from you and be unable to move closer to you until the end of your next turn. The orb has 3 charges, and it regains 1d3 expended charges daily at dawn.";"https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Orb_item.png"
"Mosstomper Seedling";"Ixtal";"Associated with Ixtal's control over elemental magic and its protective stance, shielding the region from outside threats.";"This seedling resonates with Ixtali elemental magic. As an action, you can plant the seedling in fertile ground. Over the next 24 hours, the seedling grows into a Mosstomper plant that acts as a guardian. The Mosstomper is a Large plant with AC 15 (natural armor), 50 hit points, vulnerability to fire damage, immunity to poison and psychic damage, and the following actions: Slam (Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage) and Entangling Roots (The Mosstomper targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Strength saving throw or become restrained. A creature can use its action to make a DC 14 Strength check, freeing itself or another restrained creature within reach on a success. The plant lasts for 7 days or until destroyed.";"https://wiki.leagueoflegends.com/en-us/images/Mosstomper_Seedling_item.png"
"Cappa Juice";"Freljord";"A popular drink amongst the hardy folk, rumored to contain a secret blend of frost berries and melted glacier ice. Associated with the Winter's Claw tribe.";"When you drink this juice, you gain 1d6 temporary hit points. Additionally, you have advantage on saving throws against the effects of extreme cold for 1 hour. This icy beverage is especially popular amongst the hardy folk of the Freljord, rumored to contain a secret blend of frost berries and melted glacier ice, and is associated with the Winter's Claw tribe.";"https://wiki.leagueoflegends.com/en-us/images/Cappa_Juice_item.png"
"Elixir of Iron";"Noxus";"Favored by Noxian siege engineers and frontline soldiers, it grants size and resilience. Could be associated with the Black Rose through magical augmentation.";"For 1 hour after drinking this elixir, your size increases by one category (Medium becomes Large, etc.), and you gain a number of temporary hit points equal to your level. While enlarged in this way, your Strength score becomes 20. If your Strength is already 20 or higher, the elixir has no effect on this score. Once the elixir's effect ends, your size returns to normal, and any unused temporary hit points are lost. Favored by Noxian siege engineers and frontline soldiers, it's rumored that the Black Rose has a hand in the magical augmentation required to make it.";"https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Iron_item.png"
