Item Name;Region;Lore;DescriptionGame;DescriptionLore2;ImageURL;DescriptionLore;;;;;
Cull;noxus;Favored by ambitious Noxian aspirants, each strike is a calculated risk, a chance to rise through the ranks by any means necessary.;Grants gold on hit and bonus gold upon reaching 100 stacks, sacrificing the item.;A pact with a lesser greed spirit. For each foe struck, gain 1 silver. Once 100 silver is earned, the spirit consumes the item, granting the wielder a gem worth 300 silver.;https://wiki.leagueoflegends.com/en-us/images/Cull_item.png;This wicked-looking dagger is favored by those who seek power at any cost. When you hit a creature with this magic weapon, you can choose to gain temporary hit points equal to the damage dealt. However, until the end of your next turn, you have disadvantage on attack rolls and saving throws.;;;;;
Time Chain;celestial;Associated with the celestial realm of Targon, possibly used by mortals blessed with celestial power or even the Aspects themselves.;Grants a shield after dealing champion damage, preventing damage.;The Time Chain has two ends. As an action, choose two targets to chain. The targets must make a DC 25 Wisdom save or be tethered by time. If either succeeds the save, neither are tethered. When you are able to tether two creatures, they're bound through the celestial realm and the chain disappears from the material plane, existing as a tether in the celestial realm. While a creature is bound, it cannot die if the other creature is alive. All magic performed by a bound creature is felt by its tethered partner, that can choose to immediately dispell it at any point during the duration of the magical effect.;https://wiki.leagueoflegends.com/en-us/images/LeBlanc_Ethereal_Chains_HD.png;This shimmering chain, crafted from celestial starlight, allows the wielder to manipulate the flow of time in a limited fashion. As an action, you can target one creature within 30 feet. The target must succeed on a DC 15 Wisdom saving throw or be slowed for 1 minute. While slowed in this way, the target's speed is halved, it has disadvantage on Dexterity saving throws, and it can't use reactions. You can use this ability three times, and regain all expended uses after a long rest. Additionally, the chain grants advantage on saving throws against effects that would alter your position in the timeline or otherwise erase you from existence.;;;;;
Dark Seal;noxus;Commonly used by ambitious Noxian mages, seeking to amplify their power through dark pacts and esoteric knowledge.;Grants Ability Power and Mana. Stacks bonus Ability Power on champion kill or assist. Loses stacks on death.;Wearer gains +1 to cast spells, maximum +10. On a kill, gain +2 temporary hp. Upon death, lose all bonuses and suffer -1 to hit for 1d4 turns.;https://wiki.leagueoflegends.com/en-us/images/Dark_Seal_item.png;This obsidian seal pulses with a malevolent energy. While you wear this seal, your spell attack bonus and spell save DC each increase by 1. Additionally, whenever you reduce a hostile creature to 0 hit points with a spell while wearing the seal, you gain 5 temporary hit points. However, if you are reduced to 0 hit points while wearing this seal, you must succeed on a DC 15 Charisma saving throw or become cursed. While cursed, you are compelled to serve a dark entity, as determined by the DM, and cannot willingly act in a way that would displease it.;;;;;
Doran's Blade;demacia;Favored by novice duelists in Demacia, it is a simple but effective blade. Used often by young soldiers in training exercises.;Provides attack damage, health, and lifesteal, enhancing early-game combat.;Grants +1 to hit, +1 to damage. On a critical hit, heal 1d4 hit points. Breaks if wielder is reduced to 0 hit points in a single blow.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Blade_item.png;This simple, yet effective blade grants +1 to attack rolls and damage rolls made with it. Additionally, you regain 5 hit points after reducing a creature to 0 hit points with this weapon.;;;;;
Doran's Shield;demacia;Commonly used by Demacian soldiers, its protective qualities are well-regarded. Some suspect Galio's magic is infused, granting the bearer tenacity.;Grants health, health regeneration, and damage reduction from champion attacks.;Wearer gains +8 hit points and regenerates 1 hit point per turn. Reduce damage from targeted attacks by 1, stacks up to 2 times. Shield Crumbles if wearer is Evil Alignment.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Shield_item.png;While holding this shield, you have a +1 bonus to AC. In addition, as a reaction when you are subjected to an effect that allows you to make a saving throw to take only half damage, you can use this shield to instead take no damage if you succeed on the saving throw, and only half damage if you fail. You can't use this reaction if you are incapacitated.;;;;;
Guardian's Hammer;freljord;Forged in the icy heart of the Freljord, it whispers tales of forgotten iceborn warriors and their relentless battles against the void.;+150 Health, +10 Attack Damage, 10% Life Steal.;Wearer gains +1 to hit when HP is below 50%. Whenever you deal the killing blow on an enemy, heal 1d4 HP.;https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Hammer_item.png;This hammer deals an extra 1d6 cold damage on a hit. Once per day, as an action, you can slam the hammer into the ground, creating a 15-foot radius circle of difficult terrain centered on you for 1 minute. Creatures starting their turn in the difficult terrain must succeed on a DC 13 Constitution saving throw or have their speed reduced by half until the end of their turn.;;;;;
Guardian's Orb;ionia;This orb may be tied to ancient Ionian spirit magic, possibly used to protect against malevolent entities or channel inner power.;Grants ability power, health, and mana. Taking damage grants a shield.;Wearer gains +2 to saves versus magical attacks. If damage would reduce the wearer to 0 hit points or less, they are instead reduced to 1d4 hit points and gain temporary AC 18 for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Orb_item.png;This orb pulses with ancient Ionian spirit magic. While holding the orb, you gain advantage on saving throws against being charmed or frightened. Additionally, as a bonus action, you can expend a charge to unleash a warding burst. All creatures within 15 feet of you must succeed on a DC 15 Wisdom saving throw or be pushed 10 feet away from you and be unable to move closer to you until the end of your next turn. The orb has 3 charges, and it regains 1d3 expended charges daily at dawn.;;;;;
Mosstomper Seedling;ixtal;Associated with Ixtal's control over elemental magic and its protective stance, shielding the region from outside threats.;Provides a shield and tenacity after using a bush.;User gains +2 to AC and saves vs. fear for 1d4 rounds after contact with natural foliage.;https://wiki.leagueoflegends.com/en-us/images/Mosstomper_Seedling_item.png;This seedling resonates with Ixtali elemental magic. As an action, you can plant the seedling in fertile ground. Over the next 24 hours, the seedling grows into a Mosstomper plant that acts as a guardian. The Mosstomper is a Large plant with AC 15 (natural armor), 50 hit points, vulnerability to fire damage, immunity to poison and psychic damage, and the following actions: Slam (Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage) and Entangling Roots (The Mosstomper targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Strength saving throw or become restrained. A creature can use its action to make a DC 14 Strength check, freeing itself or another restrained creature within reach on a success. The plant lasts for 7 days or until destroyed.;;;;;
Tear of the Goddess;targon;Often found near places of great celestial influence, this tear resonates with the magic of the Aspects and the stars.;Grants bonus mana and mana regeneration, scaling with mana spent.;Wearer gains +1 to cast spells. Each spell cast imposes a cumulative -1 penalty to subsequent castings until a short rest, then penalty resets.;https://wiki.leagueoflegends.com/en-us/images/Tear_of_the_Goddess_item.png;This crystalline tear shimmers with celestial energy. While you possess this tear, your maximum mana is increased by 20. Furthermore, once per long rest, when you cast a spell of 1st level or higher that expends a spell slot, you can regain a number of mana equal to the level of the spell slot expended.;;;;;
Cappa Juice;freljord;A popular drink amongst the hardy folk, rumored to contain a secret blend of frost berries and melted glacier ice. Associated with the Winter's Claw tribe.;Restores health and grants temporary movement speed boost.;Quaffing it heals 1d6 hp and grants +1 to Move rolls for 3 turns. Chance of frostbite if consumed in warm climates: take 1 cold damage per turn.;https://wiki.leagueoflegends.com/en-us/images/Cappa_Juice_item.png;When you drink this juice, you gain 1d6 temporary hit points. Additionally, you have advantage on saving throws against the effects of extreme cold for 1 hour. This icy beverage is especially popular amongst the hardy folk of the Freljord, rumored to contain a secret blend of frost berries and melted glacier ice, and is associated with the Winter's Claw tribe.;;;;;
