Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Cull;noxus;Favored by ambitious Noxian aspirants, each strike is a calculated risk, a chance to rise through the ranks by any means necessary.;Grants gold on hit and bonus gold upon reaching 100 stacks, sacrificing the item.;A pact with a lesser greed spirit. For each foe struck, gain 1 silver. Once 100 silver is earned, the spirit consumes the item, granting the wielder a gem worth 300 silver.;https://wiki.leagueoflegends.com/en-us/images/Cull_item.png
Time Chain;celestial;Associated with the celestial realm of Targon, possibly used by mortals blessed with celestial power or even the Aspects themselves.;Grants a shield after dealing champion damage, preventing damage.;The Time Chain has two ends. As an action, choose two targets to chain. The targets must make a DC 25 Wisdom save or be tethered by time. If either succeeds the save, neither are tethered. When you are able to tether two creatures, they're bound through the celestial realm and the chain disappears from the material plane, existing as a tether in the celestial realm. While a creature is bound, it cannot die if the other creature is alive. All magic performed by a bound creature is felt by its tethered partner, that can choose to immediately dispell it at any point during the duration of the magical effect.;https://wiki.leagueoflegends.com/en-us/images/LeBlanc_Ethereal_Chains_HD.png
Dark Seal;noxus;Commonly used by ambitious Noxian mages, seeking to amplify their power through dark pacts and esoteric knowledge.;Grants Ability Power and Mana. Stacks bonus Ability Power on champion kill or assist. Loses stacks on death.;Wearer gains +1 to cast spells, maximum +10. On a kill, gain +2 temporary hp. Upon death, lose all bonuses and suffer -1 to hit for 1d4 turns.;https://wiki.leagueoflegends.com/en-us/images/Dark_Seal_item.png
Doran's Blade;demacia;Favored by novice duelists in Demacia, it is a simple but effective blade. Used often by young soldiers in training exercises.;Provides attack damage, health, and lifesteal, enhancing early-game combat.;Grants +1 to hit, +1 to damage. On a critical hit, heal 1d4 hit points. Breaks if wielder is reduced to 0 hit points in a single blow.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Blade_item.png
Doran's Shield;demacia;Commonly used by Demacian soldiers, its protective qualities are well-regarded. Some suspect Galio's magic is infused, granting the bearer tenacity.;Grants health, health regeneration, and damage reduction from champion attacks.;Wearer gains +8 hit points and regenerates 1 hit point per turn. Reduce damage from targeted attacks by 1, stacks up to 2 times. Shield Crumbles if wearer is Evil Alignment.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Shield_item.png
Guardian's Hammer;freljord;Forged in the icy heart of the Freljord, it whispers tales of forgotten iceborn warriors and their relentless battles against the void.;+150 Health, +10 Attack Damage, 10% Life Steal.;Wearer gains +1 to hit when HP is below 50%. Whenever you deal the killing blow on an enemy, heal 1d4 HP.;https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Hammer_item.png
Guardian's Orb;ionia;This orb may be tied to ancient Ionian spirit magic, possibly used to protect against malevolent entities or channel inner power.;Grants ability power, health, and mana. Taking damage grants a shield.;Wearer gains +2 to saves versus magical attacks. If damage would reduce the wearer to 0 hit points or less, they are instead reduced to 1d4 hit points and gain temporary AC 18 for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Guardian%27s_Orb_item.png
Mosstomper Seedling;ixtal;Associated with Ixtal's control over elemental magic and its protective stance, shielding the region from outside threats.;Provides a shield and tenacity after using a bush.;User gains +2 to AC and saves vs. fear for 1d4 rounds after contact with natural foliage.;https://wiki.leagueoflegends.com/en-us/images/Mosstomper_Seedling_item.png
Tear of the Goddess;targon;Often found near places of great celestial influence, this tear resonates with the magic of the Aspects and the stars.;Grants bonus mana and mana regeneration, scaling with mana spent.;Wearer gains +1 to cast spells. Each spell cast imposes a cumulative -1 penalty to subsequent castings until a short rest, then penalty resets.;https://wiki.leagueoflegends.com/en-us/images/Tear_of_the_Goddess_item.png
Cappa Juice;freljord;A popular drink amongst the hardy folk, rumored to contain a secret blend of frost berries and melted glacier ice. Associated with the Winter's Claw tribe.;Restores health and grants temporary movement speed boost.;Quaffing it heals 1d6 hp and grants +1 to Move rolls for 3 turns. Chance of frostbite if consumed in warm climates: take 1 cold damage per turn.;https://wiki.leagueoflegends.com/en-us/images/Cappa_Juice_item.png
Elixir of Iron;noxus;Favored by Noxian siege engineers and frontline soldiers, it grants size and resilience. Could be associated with the Black Rose through magical augmentation.;Grants increased size, tenacity, and damage reduction against champions.;Drink and grow mighty as an Ogre! But the concoction is unstable. Roll a d6, on a 1, suffer permanent size increase after the draught wears off! On a 6, shrink uncontrollably!;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Iron_item.png
Elixir of Wrath;noxus;Favored by arena combatants and bloodthirsty warlords seeking an edge in battle. Often used in the fighting pits of Noxus.;Grants attack damage, spell vamp, and empowers basic attacks on hit.;Upon consumption, grants +2 to hit and damage rolls. On a critical hit, regain 1d4 hit points. Lasts 5 turns. Afterwards, suffer -1 to hit rolls for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Wrath_item.png
Refillable Potion;ionia;Commonly used by wandering monks and martial artists in Ionia to recover from strenuous training and meditation. Also popular among assassins.;Restores Health over time. Refills at the fountain.;Quaffing this potion restores 1d6 hit points over 3 rounds. The vial refills with use, but only in areas of natural power. (Example: Sacred Groves);https://wiki.leagueoflegends.com/en-us/images/Refillable_Potion_item.png
Oracle Lens;shadow isles;Used by sentinels to sweep for the Black Mist. It reveals hidden dangers and wards off the spectral tendrils of the Ruination.;Temporarily reveals invisible enemy units and disables enemy wards. Useful for scouting and clearing vision.;Grants the user brief glimpses into the ethereal plane, revealing hidden creatures and magical sigils. Grants advantage on saves vs. illusions and enchantments.;https://wiki.leagueoflegends.com/en-us/images/Oracle_Lens_item.png
Elixir of Avarice;bilgewater;Likely brewed by a Bilgewater alchemist, exploiting vulnerabilities for profit. Associated with the unscrupulous underworld.;Grants bonus gold on hit but reduces damage dealt to champions.;Grants +1d4 gold per successful attack, but imposes a -1 penalty to hit rolls against formidable foes. Represents a risky gamble for short-term gains.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Avarice_item.png
Elixir of Skill;ionia;Brewed by monks in remote monasteries, it is said to unlock hidden potential within the imbiber. It may be connected to the spirit realm.;Grants bonus true damage and increased ability power.;Upon imbibing, the character must immediately roll a saving throw (Wisdom). On a success, +1 to cast spells and damage, bypassing armour. On a failure, summon a chaotic extra-planar entity.;https://wiki.leagueoflegends.com/en-us/images/Ichor_of_Illumination_item.png
Poro-Snax;freljord;Poro-Snax are a Freljord delicacy, irresistibly delicious to Poros, the fluffy creatures of the Howling Abyss. Legends say they contain magical warmth.;Feeds a Poro, causing it to grow larger and grant a temporary visual effect.;A handful of Snax charms any beast, and may ward off the chill of a magical blizzard. Consuming a whole bag grants temporary advantage on saves vs. cold damage.;https://wiki.leagueoflegends.com/en-us/images/Poro-Snax_item.png
Total Biscuit of Everlasting Will;demacia;Baked by a famed Demacian baker. It's rumored to have been blessed by a mage to keep soldiers going during long campaigns.;Restores health and mana upon consumption.;When consumed, heals 2d8 hit points and removes one level of exhaustion. This biscuit never spoils and can sustain one lost in the wild.;https://wiki.leagueoflegends.com/en-us/images/Total_Biscuit_of_Everlasting_Will_item.png
Berserker's Greaves;noxus;Favored by Noxian arena combatants, these greaves enhance speed, essential for dodging brutal attacks and exploiting fleeting openings in battle.;Increases attack speed and grants a moderate amount of movement speed.;Wearer gains +2 to initiative and attack rolls. Movement in combat is doubled. Upon a failed save vs. magic, wearer flies into a berserker rage.;https://wiki.leagueoflegends.com/en-us/images/Berserker%27s_Greaves_item.png
Boots of Swiftness;ionia;Favored by Ionian monks and messengers, these boots whisper of haste and a light step, essential for traversing vast landscapes.;Increases movement speed and reduces the effect of slows.;Wearer moves swiftly (+2 to Move silently checks, +2 to Run checks) and suffers less hindrance from binding magic or terrain.;https://wiki.leagueoflegends.com/en-us/images/Boots_of_Swiftness_item.png
